school,faculty,fields
vub,"Faculteit Lichamelijke Opvoeding & Kinesitherapie",Medecine & Health
vub,"Faculty of Physical Education and Physiotherapy",Medecine & Health
uhasselt,"Faculteit Architectuur en Kunst",Arts;Architecture
uhasselt,"Faculteit Bedrijfseconomische Wetenschappen",Economy;Management
uhasselt,"Faculteit Geneeskunde en Levenswetenschappen",Medecine & Health
uhasselt,"Faculteit Industriële Ingenieurswetenschappen",Engineering
uhasselt,"Faculteit Rechten",Law & Criminology
uhasselt,"Faculteit Revalidatiewetenschappen",Medecine & Health
uhasselt,"Faculteit Wetenschappen",Science
uhasselt,"School voor Mobiliteitswetenschappen",Engineering
uhasselt,"School voor educatieve studies",Pedagogy
uhasselt,"School of Expert Education",Pedagogy
